r,cutoff,avg_time (seconds),median_time (seconds)
11,135,0.341710546,0.344515689
11,136,0.339187023,0.340080993
11,137,0.340453219,0.342449704
11,138,0.340628384,0.341107607
11,139,0.338521022,0.339422582
11,140,0.339671967,0.340622883
11,141,0.344847481,0.345240526
11,142,0.341468543,0.342527871
11,143,0.340818093,0.341438277
11,144,0.342052699,0.343622228
11,145,0.338794573,0.339783947
11,146,0.342119168,0.34273192
11,147,0.342344867,0.342734957
11,148,0.341155627,0.34167686
11,149,0.341828896,0.342580584
11,150,0.340471275,0.340570328
11,151,0.34062672,0.342440676
11,152,0.339639583,0.340425318
11,153,0.337918506,0.339219157
11,154,0.341144424,0.341475151
11,155,0.34059416,0.341195311
11,156,0.340015687,0.341745916
11,157,0.337932582,0.338381189
11,158,0.341218601,0.34211272
11,159,0.340910509,0.340989701
11,160,0.338151909,0.338400659
11,161,0.339058028,0.341074839
11,162,0.342213628,0.346454323
11,163,0.339842597,0.340858478
11,164,0.342967161,0.344566097
11,165,0.33944017,0.339620724
11,166,0.340719286,0.341866035
11,167,0.341486535,0.342647279
11,168,0.337286934,0.337384532
11,169,0.337118241,0.338307171
11,170,0.34259505,0.342836504
11,171,0.33807973,0.339149447
11,172,0.341425736,0.341780671
11,173,0.342941105,0.342994703
11,174,0.337888529,0.339704818
11,175,0.339121764,0.339460673
11,176,0.34461899,0.347722558
11,177,0.340620087,0.341027066
11,178,0.340852512,0.341187166
11,179,0.34620063,0.351900767
11,180,0.341513538,0.34376366
11,181,0.339607417,0.340557011
11,182,0.342791458,0.342847642
11,183,0.341462908,0.343185474
11,184,0.341482655,0.342165278
11,185,0.342701146,0.344339989
11,186,0.341957199,0.342604119
11,187,0.345403584,0.346670306
11,188,0.341378567,0.34294534
11,189,0.346048258,0.346071292
11,190,0.347197001,0.349067564
11,191,0.339663212,0.342976499
11,192,0.340379103,0.341030659
11,193,0.345159895,0.346893561
11,194,0.34062255,0.341104752
11,195,0.341421582,0.342208353
11,196,0.344426204,0.345987029
11,197,0.341024428,0.343071562
11,198,0.340270391,0.340561992
11,199,0.340598224,0.343380649
11,200,0.338130401,0.338342217
13,3,0.476169121,0.476534399
13,4,0.470074313,0.470628004
13,5,0.468421523,0.468561971
13,6,0.456203906,0.459901354
13,7,0.452560961,0.453845095
13,8,0.451535663,0.451634196
13,9,0.444084324,0.444104962
13,10,0.447533576,0.450115101
13,11,0.441842366,0.442025249
13,12,0.438844105,0.441784747
13,13,0.437814266,0.438367426
13,14,0.430020122,0.431081024
13,15,0.426642762,0.427815384
13,16,0.421412677,0.421498639
13,17,0.416732505,0.417421869
13,18,0.411254835,0.411388968
13,19,0.409358281,0.411944969
13,20,0.409756748,0.410068911
13,21,0.404839965,0.407420946
13,22,0.403709509,0.403857584
13,23,0.405464294,0.406192458
13,24,0.400484617,0.400814218
13,25,0.401731834,0.401928532
13,26,0.400696598,0.400995392
13,27,0.399964389,0.401813578
13,28,0.396232504,0.396292534
13,29,0.393084365,0.393415007
13,30,0.396263138,0.397729597
13,31,0.394070223,0.394248163
13,32,0.391298186,0.394810937
13,33,0.384180508,0.38526939
13,34,0.385614217,0.386312292
13,35,0.384754335,0.386524424
13,36,0.381630332,0.381935703
13,37,0.382293492,0.382468442
13,38,0.378117152,0.378629125
13,39,0.378874253,0.37934613
13,40,0.382849006,0.384001943
13,41,0.376897177,0.377970816
13,42,0.37634966,0.377623342
13,43,0.378982191,0.378989044
13,44,0.376649891,0.377893395
13,45,0.378529167,0.383849456
13,46,0.376859906,0.377038293
13,47,0.37299887,0.374437457
13,48,0.375063983,0.377829441
13,49,0.376053855,0.377346762
13,50,0.373079688,0.373955464
13,51,0.377406946,0.378792477
13,52,0.372113034,0.37295269
13,53,0.374388384,0.375645352
13,54,0.37244075,0.372746959
13,55,0.368351188,0.368947766
13,56,0.372846851,0.373362482
13,57,0.36724906,0.368049644
13,58,0.368815421,0.369006018
13,59,0.369398234,0.371183839
13,60,0.367304997,0.368028636
13,61,0.366114045,0.368038529
13,62,0.367783209,0.36918441
13,63,0.364406764,0.364464547
13,64,0.363866582,0.364619696
13,65,0.363039361,0.363178209
13,66,0.361341952,0.361731516
13,67,0.364082055,0.364456766
13,68,0.357717339,0.358808888
13,69,0.360743739,0.360940584
13,70,0.363722009,0.364177784
13,71,0.35793925,0.358198712
13,72,0.358479706,0.358504846
13,73,0.359622564,0.361511886
13,74,0.35981144,0.360015568
13,75,0.35923511,0.360411635
